Serial Number !,PyC,SiC,BN,Overall Interphase thickness,Fabrication Temperature ,Fabrication Time,Fiber Density,Number of Fibers per Tow,Fiber Volume Fractions,Fiber Radius,Fiber Tensile Modulus or Young modulus or Tensile Modulus,Matrix Volume Fraction,Tensile Strength ,Tensile Testing Temperature
4,1,0,0,35,1000,,2.884,500,0.446,6,,0.69,950,900
5,1,0,0,100,1000,,2.884,500,0.66,6.5,354,0.34,1200,20
6,0,0,1,450,1060,,2.252,400,0.27,,195,0.73,664.76,
,0,0,1,3500,1400,,2.9,,0.27,,171,,310.798,
7,1,0,0,100,1000,,2.884,500,0.58,6.5,,0.3,796.8,
10,1,0,0,150,1000,,2.252,,0.46,6.5,319,0.54,1061,
,1,0,0,150,1000,,2.252,,0.46,7.5,319,0.54,898,
11,1,0,0,1400,1100,,2.884,500,0.218,7.7,165,0.728,498,20
,1,0,0,1400,1100,,2.884,500,0.218,7.7,165,0.728,436,800
12,1,0,0,1400,1100,12,2.884,500,0.16,,,,317,20
,1,0,0,1499,1100,12,2.884,500,0.16,,,,1099,700
,1,0,0,400,700,12,2.884,500,0.16,,,,655,950
,1,0,0,400,700,12,2.884,500,0.16,,,,439,1200
,1,0,0,400,700,12,2.9,500,0.22,,,,317,20
,1,0,0,400,700,12,2.9,500,0.22,,,,996,700
,0,0,1,3000,700,12,2.9,500,0.22,,,,1019,950
,0,0,1,3000,700,12,2.9,500,0.22,,,,385,1200
14,0,0,1,3000,700,,2.95,500,0.46,6.5,319,,900,
,0,0,1,3000,700,,2.95,500,0.46,6.5,319,,1030,
,1,0,0,150,1000,,3.01,800,0.43,5,312,,680,
,1,0,0,150,1000,,3.01,800,0.43,5,312,,730,
15,1,0,0,150,1000,32,2.74,500,0.258,7,270,1,644,20
,1,0,0,150,1000,32,2.74,500,0.16,7,270,1,313.94,20
,0,0,1,1000,94,32,2.74,500,0.17,7,270,1,427.88,20
,0,0,1,1000,94,32,2.74,500,0.19,7,270,1,466.67,20
,0,0,1,1000,94,32,2.74,500,0.22,7,270,1,607.27,20
,0,0,1,1000,94,32,2.74,500,0.23,7,270,1,527.27,20
,0,0,1,1000,94,32,2.74,500,0.24,7,270,1,272.73,20
,0,0,1,1000,94,32,2.74,500,0.28,7,270,1,456.97,20
,0,0,1,1000,94,32,2.74,500,0.26,7,270,1,643.64,20
,0,0,1,1000,94,32,2.74,500,0.41,7,270,1,762.42,20
,0,0,1,1000,94,32,2.74,500,0.43,7,270,1,677.58,20
,0,0,1,1000,94,32,2.74,500,0.43,7,270,1,590.3,20
,0,0,1,1000,94,32,2.74,500,0.43,7,270,1,602.42,20
,0,0,1,1000,94,32,3.1,500,0.228,6,400,1,490,20
,0,0,1,1000,94,32,3.1,500,0.11,6,400,1,253.33,20
,0,0,1,1000,94,32,3.1,500,0.16,6,400,1,292.12,20
,0,0,1,1000,94,32,3.1,500,0.18,6,400,1,282.42,20
,0,0,1,1000,94,32,3.1,500,0.22,6,400,1,275.15,20
,0,0,1,1000,94,32,3.1,500,0.23,6,400,1,488.48,20
,0,0,1,1000,94,32,3.1,500,0.18,6,400,1,534.55,20
,0,0,1,1000,94,32,3.1,500,0.24,6,400,1,774.55,20
,0,0,1,1000,94,32,3.1,500,0.24,6,400,1,706.67,20
,0,0,1,1000,94,32,3.1,500,0.25,6,400,1,711.52,20
,0,0,1,1000,94,32,3.1,500,0.26,6,400,1,682.42,20
,0,0,1,1000,94,32,3.1,500,0.35,6,400,1,806.06,20
,0,0,1,1000,94,32,3.1,500,0.39,6,400,1,1048.48,20
,0,0,1,1000,94,32,3.1,500,0.38,6,400,1,1123.64,20
,0,0,1,1000,94,32,3.1,500,0.4,6,400,1,1215.76,20
,0,0,1,1000,94,32,2.35,400,0.275,5.5,170,1,220,20
,0,0,1,1000,94,32,2.35,400,0.24,5.5,170,1,459.39,20
,0,0,1,1000,94,32,2.35,400,0.23,5.5,170,1,469.09,20
,0,0,1,1000,94,,2.35,400,0.17,,,1,,
,0,0,1,1000,94,32,2.35,400,0.28,5.5,170,1,503.03,20
16,0,0,1,,94,,2.9,,0.45,6.15,280,0.55,329.91,20
,0,0,1,1000,94,,2.9,,0.45,6.27,280,0.55,365.25,20
,0,0,1,3500,1100,,2.9,,0.45,6,280,0.55,310.02,20
,0,0,1,3500,1100,,2.9,,0.45,6.17,280,0.55,283.01,20
,0,0,1,3500,1100,,2.9,,0.45,6,280,0.55,265.8,20
,0,0,1,3500,1100,,2.9,,0.45,6.11,280,0.55,205.73,20
17,0,0,1,3500,1100,32,3.1,,0.34,,,0.41,1050,20
,0,0,1,3500,1100,32,3.1,,0.23,,,0.75,690,20
18,0,0,1,1900 ± 600,94,,,500,0.23,6,140,0.77,,20
,0,0,1,300 ± 80,94,,,500,0.23,6,140,0.77,148,20
,0,0,0,400,1200,,,500,0.23,6,140,0.77,177,20
,0,0,0,400,1200,,,500,0.23,6,140,0.77,213,20
,0,0,0,400,1200,,,500,0.23,6,120,,,20
,0,0,0,400,1200,,,500,0.23,,,,185,20
,1,0,0,400,1200,,,500,0.23,,,,217,20
,1,0,0,400,1200,,,500,0.23,,,,229,20
,1,0,0,400,1200,,,500,0.23,,170,,,20
,1,0,0,400,1200,,,500,0.23,,,,447,20
,1,0,0,400,1200,,,500,0.23,,,,454,20
,1,0,0,400,1200,,,500,0.23,,,,484,20
22,1,0,0,400,1200,,,500,0.315,,,0.61,,20
,1,0,0,400,1200,,,500,0.16,,,0.7,,20
23,0,0,0,,1100,500,,1000,0.325,6.5,141,0.675,570,
24,0,0,0,,1100,8,,,0.33,,,,,
27,1,0,0,,1100,4,2.34,500,0.6118,6,185,,454,
,1,0,0,,900,4,2.29,500,0.45,6,185,,609.4,
,0,0,0,0,1100,4,2.25,500,0.45,6,185,,620.3,
,0,1,1,1000,1100,4,2.29,500,0.45,6,185,,630.9,
29,0,2,2,2000,1100,,2.55,,0.42,7,200,0.58,,
31,0,4,4,2300,1100,,2.9,,0.185,6.5,380,,750,
,1,0,0,,1100,,2.9,,0.195,6.5,380,,820,
,0,1,1,600,1100,,2.9,,0.185,6.5,380,,825,
32,0,1,2,600,1100,,2.98,500,0.46,6.5,372,,870,20
,0,2,3,600,1100,,3.1,1600,0.43,3.5,387,,855,20
,1,0,0,150,1000,,2.98,500,0.46,6.5,372,,980,20
,1,0,0,150,1000,,3.1,1600,0.43,3.5,387,,600,20
,3,2,0,150,1000,,2.98,500,0.44,6.5,372,,880,20
,3,2,0,150,1000,,2.98,500,0.4,6.5,372,,830,20
33,3,2,0,150,1000,80,,3000,0.3,3.5,,0.7,350,
34,1,0,0,30,1000,40,1.76,3000,0.661,3.5,230,0.329,502.7,
,1,0,0,200,1000,40,1.78,3000,0.673,3.5,230,0.327,371.4,
,1,0,0,500-800,1100,40,1.76,6000,0.805,3.5,230,0.195,490.7,
35,1,0,0,500-800,1100,2,,,0.45,,,0.55,485.6,
,1,0,0,500-800,1100,2,,,0.45,,,0.55,502.6,
,1,0,0,150,1300,2,,,0.45,,,0.55,507.8,
,1,0,0,150,1300,2,,,0.45,,,0.55,494.7,
36,1,0,0,150,1300,,,,0.1,7,200,0.9,310,
,1,0,0,150,1300,,,,0.16,6.5,280,0.84,440,
,0,0,1,500,1050,,,,0.16,4.5,380,0.84,450,
40,0,0,1,750,1400,7,,500,0.35,,,0.65,,
,0,0,1,450,1400,7,,500,0.46,,,0.54,,
,1,0,0,,950,7,,500,0.54,,,0.46,,
,1,0,0,,950,7,,500,0.5,,,0.5,,
,1,0,0,,950,,,,,,,,,
,1,0,0,,950,,,,,,,,,