Serial Number !,Interphase-1,Coating,PyC,SiC,BN,Fabrication Temperature ,Fabrication Time,Overall Interphase thickness,Fiber Density,Fiber Volume Fractions,Number of Fibers per Tow,Fiber Radius,Fiber Tensile Modulus or Young modulus or Tensile Modulus,Tensile Strength ,Tensile Young's Modulus,Tensile Fracture Strain,Tensile Testing Temperature
4,PyC,,1,0,0,1000,,35,,,500,6,,950,,0.2,900
5,PyC,,1,0,0,,,100,,0.66,500,6.5,354,1200,350,0.7,25
6,,Uncoated,0,0,0,,,,,0.27,400,,195,,195,1.2,
,,BN,0,0,1,1400,,,,0.27,,,171,,176,0.8,
7,PyC,,1,0,0,,,100,,0.58,,,,,,,
10,,,0,0,0,1000,,,,0.46,,6.5,319,1061,,0.61,
,,,0,0,0,1000,,,,0.46,,7.5,319,898,,0.54,
11,PyC,,1,0,0,,,1400,,0.218,500,7.7,165,498,,,25
,PyC,,1,0,0,,,1400,,0.218,500,7.7,165,436,,,800
12,PyC,Carbon-coated,1,1,0,,,400,,0.16,500,,,317,,,25
,PyC ,Carbon-coated,1,1,0,,,,,0.16,500,,,1099,,,700
,PyC,Carbon-coated,1,1,0,,,,,0.16,500,,,655,,,950
,PyC ,Carbon-coated,1,1,0,,,,,0.16,500,,,439,,,1200
,BN,Carbon-coated,0,1,1,,,,,0.16,500,,,317,,,25
,BN,Carbon-coated,0,1,1,,,,,0.16,500,,,996,,,700
,BN,Carbon-coated,0,1,1,,,,,0.16,500,,,1019,,,950
,BN,Carbon-coated,0,1,1,,,,,0.16,500,,,385,,,1200
14,PyC,,1,0,0,1000,,150,2.95,0.46,500,6.5,319,900,350,0.62,
,PyC,,1,0,0,1000,,150,2.95,0.46,500,6.5,319,1030,360,0.65,
,PyC,,1,0,0,1000,,150,3.01,0.43,800,5,312,680,370,0.21,
,PyC,,1,0,0,1000,,150,3.01,0.43,800,5,312,730,380,0.23,
15,BN,,0,0,1,94,32,1000,2.74,0.258,500,7,270,644,,0.45,25
,BN,,0,0,1,94,32,1000,2.74,0.16,500,7,270,313.94,,,25
,BN,,0,0,1,94,32,1000,2.74,0.17,500,7,270,427.88,,,25
,BN,,0,0,1,94,32,1000,2.74,0.19,500,7,270,466.67,,,25
,BN,,0,0,1,94,32,1000,2.74,0.22,500,7,270,607.27,,,25
,BN,,0,0,1,94,32,1000,2.74,0.23,500,7,270,527.27,,,25
,BN,,0,0,1,94,32,1000,2.74,0.24,500,7,270,272.73,,,25
,BN,,0,0,1,94,32,1000,2.74,0.28,500,7,270,456.97,,,25
,BN,,0,0,1,94,32,1000,2.74,0.26,500,7,270,643.64,,,25
,BN,,0,0,1,94,32,1000,2.74,0.41,500,7,270,762.42,,,25
,BN,,0,0,1,94,32,1000,2.74,0.43,500,7,270,677.58,,,25
,BN,,0,0,1,94,32,1000,2.74,0.43,500,7,270,590.3,,,25
,BN,,0,0,1,94,32,1000,2.74,0.43,500,7,270,602.42,,,25
,BN,,0,0,1,94,32,1000,3.1,0.228,500,6,400,490,,0.22,25
,BN,,0,0,1,94,32,1000,3.1,0.11,500,6,400,253.33,,,25
,BN,,0,0,1,94,32,1000,3.1,0.16,500,6,400,292.12,,,25
,BN,,0,0,1,94,32,1000,3.1,0.18,500,6,400,282.42,,,25
,BN,,0,0,1,94,32,1000,3.1,0.22,500,6,400,275.15,,,25
,BN,,0,0,1,94,32,1000,3.1,0.23,500,6,400,488.48,,,25
,BN,,0,0,1,94,32,1000,3.1,0.18,500,6,400,534.55,,,25
,BN,,0,0,1,94,32,1000,3.1,0.24,500,6,400,774.55,,,25
,BN,,0,0,1,94,32,1000,3.1,0.24,500,6,400,706.67,,,25
,BN,,0,0,1,94,32,1000,3.1,0.25,500,6,400,711.52,,,25
,BN,,0,0,1,94,32,1000,3.1,0.26,500,6,400,682.42,,,25
,BN,,0,0,1,94,32,1000,3.1,0.35,500,6,400,806.06,,,25
,BN,,0,0,1,94,32,1000,3.1,0.39,500,6,400,1048.48,,,25
,BN,,0,0,1,94,32,1000,3.1,0.38,500,6,400,1123.64,,,25
,BN,,0,0,1,94,32,1000,3.1,0.4,500,6,400,1215.76,,,25
,BN,,0,0,1,94,32,1000,2.35,0.275,400,5.5,170,220,,0.1,25
,BN,,0,0,1,94,32,1000,2.35,0.24,400,5.5,170,459.39,,,25
,BN,,0,0,1,94,32,1000,2.35,0.23,400,5.5,170,469.09,,,25
,BN,,0,0,1,94,32,1000,2.35,0.28,400,5.5,170,503.03,,,25
16,BN,,0,0,1,1100,,3500,2.9,0.45,,6.15,280,329.91,,,25
,BN,,0,0,1,1100,,3500,2.9,0.45,,6.27,280,365.25,,,25
,BN,,0,0,1,1100,,3500,2.9,0.45,,6,280,310.02,,,25
,BN,,0,0,1,1100,,3500,2.9,0.45,,6.17,280,283.01,,,25
,BN,,0,0,1,1100,,3500,2.9,0.45,,6,280,265.8,,,25
,BN,,0,0,1,1100,,3500,2.9,0.45,,6.11,280,205.73,,,25
18,,,0,0,0,1200,N2,400,,0.23,,6,140,,,,25
,,,0,0,0,1200,N2,400,,0.23,,6,140,148,,0.58,25
,,,0,0,0,1200,N2,400,,0.23,,6,140,177,,0.88,25
,,,0,0,0,1200,N2,400,,0.23,,6,140,213,,0.65,25
,PyC,,1,0,0,1200,N2,400,,0.23,,6,120,,,,25
,PyC,,1,0,0,1200,N2,400,,,,,,185,,0.58,25
,PyC,,1,0,0,1200,N2,400,,,,,,217,,0.78,25
,PyC,,1,0,0,1200,N2,400,,,,,,229,,0.82,25
,PyC,,1,0,0,1200,N2,400,,0.2,,,170,,,,25
,PyC,,1,0,0,1200,N2,400,,,,,,447,,1.28,25
,PyC,,1,0,0,1200,N2,400,,,,,,454,,1.34,25
,PyC,,1,0,0,1200,N2,400,,,,,,484,,1.43,25
27,uncoated,,0,0,0,1100,4,0,2.34,,,6,,454,61.4,0.67,
,BN-SiC,,0,1,1,1100,4,1000,2.29,,,6,,609.4,68.2,1.31,
,BN-SiC-BN-SiC,,0,2,2,1100,4,2000,2.25,,,6,,620.3,64.7,1.51,
,BN-SiC-BN-SiC,,0,2,2,1100,4,2300,2.29,,,6,,630.9,72.1,1.64,
31,SiC,,0,1,0,,,600,,0.185,,6.5,380,750,,0.25,
,BN-SiC-BN,,0,1,2,,,600,,0.195,,6.5,380,820,,0.26,
,BN-SiC-BN-SiC-BN,,0,2,2,,,600,,0.185,,6.5,380,825,,0.26,
32,PyC,,1,0,0,1000,,150,2.98,0.46,500,6.5,372,870,400,0.61,25
,PyC,,1,0,0,1000,,150,3.1,0.43,1600,3.5,387,855,420,0.38,25
,PyC-SiC-PyC-SiC-PyC,,3,2,0,1000,,150,2.98,0.46,500,6.5,372,980,390,0.69,25
,PyC-SiC-PyC-SiC-PyC,,3,2,0,1000,,150,3.1,0.43,1600,3.5,387,600,415,0.15,25
,PyC-SiC-PyC-SiC-PyC,,3,2,0,1000,,150,2.98,0.44,500,6.5,372,880,420,0.63,25
,PyC,,1,0,0,1000,,30,2.98,0.4,500,6.5,372,830,410,0.6,25
33,PyC,,1,0,0,1000,80,200,,0.3,3000,,,350,124,0.6,
34,,,0,0,0,1100,40,500,1.76,0.661,3000,3.5,230,502.7,,1.1,
,,,0,0,0,1100,40,650,1.78,0.673,3000,3.5,230,371.4,,0.75,
,,,0,0,0,1100,40,800,1.76,0.805,6000,3.5,230,490.7,,0.45,
35,PyC,,1,0,0,1300,100,150,2.5,0.45,,,,485.6,90.2,0.658,
,PyC,,1,0,0,1300,100,150,2.5,0.45,,,,502.6,92.4,0.683,
,PyC,,1,0,0,1300,100,150,2.5,0.45,,,,507.8,95.9,0.642,
,PyC,,1,0,0,1300,100,150,2.5,0.45,,,,494.7,92.1,0.648,
,PyC,,1,0,0,1300,100,200,2.6,0.45,,,,262.8,71,0.374,
,PyC,,1,0,0,1300,100,200,2.6,0.45,,,,258.3,70.2,0.366,
,PyC,,1,0,0,1300,100,200,2.6,0.45,,,,253.5,71.5,0.383,
,PyC,,1,0,0,1300,100,200,2.6,0.45,,,,268.1,83.5,0.366,
36,BN,,0,0,1,1050,,500,1.5,0.1,,7,200,310,381,0.9,
,BN,,0,0,1,1400,,750,1.76,0.16,,6.5,280,440,379,0.76,
,BN,,0,0,1,1400,,450,1.5,0.16,,4.5,380,450,397,0.27,