Fabrication Temperature ,Fiber Density,Number of Fibers per Tow,Fiber Volume Fractions,Fiber Radius,Fiber Modulus,Strength,Tensile Testing Temperature,Overall Interphase thickness
1000,2.74,500.0,0.258,7.0,270.0,644.0,20.0,150
1000,1.76,3000.0,0.661,3.5,230.0,502.7,176.0,30
1100,2.884,500.0,0.218,7.7,165.0,498.0,20.0,1400
1200,2.8696,500.0,0.23,6.0,140.0,177.0,20.0,400
94,2.35,400.0,0.28,5.5,170.0,503.03,20.0,1000
1200,2.8696,500.0,0.23,6.056,224.0,185.0,20.0,400
1100,2.8696,720.0,0.45,6.38,253.4,485.6,176.0,500-800
1100,2.9,720.0,0.185,6.5,380.0,825.0,20.0,600
1000,2.98,500.0,0.4,6.5,372.0,830.0,20.0,150
1000,3.01,800.0,0.43,5.0,312.0,680.0,20.0,150
1400,2.9,500.0,0.27,6.034000000000001,171.0,310.798,20.0,3500
1300,2.8696,720.0,0.45,6.714,206.0,507.8,176.0,150
94,2.74,500.0,0.17,7.0,270.0,427.88,20.0,1000
94,2.74,500.0,0.43,7.0,270.0,677.58,20.0,1000
94,3.1,500.0,0.25,6.0,400.0,711.52,20.0,1000
1100,2.9,500.0,0.45,6.11,280.0,205.73,20.0,3500
1100,1.76,6000.0,0.805,3.5,230.0,490.7,176.0,500-800
1000,2.884,500.0,0.446,6.0,375.0,950.0,900.0,35
1100,2.29,500.0,0.45,6.0,185.0,630.9,20.0,1000
94,2.74,500.0,0.26,7.0,270.0,643.64,20.0,1000
1000,2.884,500.0,0.66,6.5,354.0,1200.0,20.0,100
94,3.1,500.0,0.228,6.0,400.0,490.0,20.0,1000
1200,2.8695999999999997,500.0,0.23,6.714,234.0,447.0,20.0,400
1200,2.8696,500.0,0.23,6.056,224.0,229.0,20.0,400
1000,2.98,500.0,0.44,6.5,372.0,880.0,20.0,150
700,2.95,500.0,0.46,6.5,319.0,1030.0,518.0,3000
1000,3.1,1600.0,0.43,3.5,387.0,600.0,20.0,150
700,2.884,500.0,0.16,6.58,251.4,439.0,1200.0,400
94,3.1,500.0,0.23,6.0,400.0,488.48,20.0,1000
1100,2.884,500.0,0.16,5.9,371.4,1099.0,700.0,1499
94,3.1,500.0,0.16,6.0,400.0,292.12,20.0,1000
94,2.35,400.0,0.23,5.5,170.0,469.09,20.0,1000
1000,2.252,720.0,0.46,7.5,319.0,898.0,196.0,150
1100,2.9,720.0,0.185,6.5,380.0,750.0,20.0,2300
1100,2.884,500.0,0.218,7.7,165.0,436.0,800.0,1400
94,3.1,500.0,0.39,6.0,400.0,1048.48,20.0,1000
1000,2.252,720.0,0.46,6.5,319.0,1061.0,332.0,150
1100,2.8696,720.0,0.45,6.38,253.4,502.6,176.0,500-800
1300,2.8696,720.0,0.45,6.714,206.0,494.7,176.0,150
94,2.74,500.0,0.23,7.0,270.0,527.27,20.0,1000
1000,2.98,500.0,0.46,6.5,372.0,980.0,20.0,150
1100,3.1,720.0,0.34,5.9,371.4,1050.0,20.0,3500
94,2.74,500.0,0.43,7.0,270.0,602.42,20.0,1000
94,2.74,500.0,0.43,7.0,270.0,590.3,20.0,1000
1000,3.01,800.0,0.43,5.0,312.0,730.0,20.0,150
94,3.1,500.0,0.11,6.0,400.0,253.33,20.0,1000
1100,3.1,1600.0,0.43,3.5,387.0,855.0,20.0,600
94,3.1,500.0,0.38,6.0,400.0,1123.64,20.0,1000
700,2.9,500.0,0.22,6.5,368.4,996.0,700.0,400
94,2.74,500.0,0.19,7.0,270.0,466.67,20.0,1000
1100,2.9,500.0,0.45,6.0,280.0,265.8,20.0,3500
1100,2.9,500.0,0.45,6.17,280.0,283.01,20.0,3500
94,3.1,500.0,0.4,6.0,400.0,1215.76,20.0,1000
1200,2.8696,500.0,0.23,6.214,255.4,484.0,20.0,400
1000,2.884,500.0,0.58,6.5,354.6,796.8,20.0,100
1100,2.9,500.0,0.45,6.0,280.0,310.02,20.0,3500
1100,2.884,500.0,0.16,6.256,278.0,317.0,20.0,1400
94,3.1,500.0,0.18,6.0,400.0,534.55,20.0,1000
1000,2.8696,3000.0,0.3,3.5,255.0,350.0,20.0,150
94,2.35,400.0,0.24,5.5,170.0,459.39,20.0,1000
94,2.74,500.0,0.41,7.0,270.0,762.42,20.0,1000
1000,1.78,3000.0,0.673,3.5,230.0,371.4,176.0,200
1200,2.8695999999999997,500.0,0.23,6.714,234.0,454.0,20.0,400
94,2.35,400.0,0.275,5.5,170.0,220.0,20.0,1000
94,2.74,500.0,0.24,7.0,270.0,272.73,20.0,1000
94,2.74,500.0,0.22,7.0,270.0,607.27,20.0,1000
1200,2.8696,500.0,0.23,6.056,224.0,217.0,20.0,400
1300,2.8695999999999997,500.0,0.1,7.0,200.0,310.0,20.0,150
1000,2.74,500.0,0.16,7.0,270.0,313.94,20.0,150
700,2.884,500.0,0.16,6.24,313.2,655.0,950.0,400
94,3.1,500.0,0.35,6.0,400.0,806.06,20.0,1000
700,2.9,500.0,0.22,6.24,274.4,385.0,1200.0,3000
700,2.9,500.0,0.22,5.734,299.4,317.0,20.0,400
1050,2.8695999999999997,720.0,0.16,4.5,380.0,450.0,176.0,500
1100,2.98,500.0,0.46,6.5,372.0,870.0,20.0,600
94,2.878,500.0,0.23,6.0,140.0,148.0,20.0,300 Â± 80
1100,3.1,940.0,0.23,5.4,357.6,690.0,20.0,3500
94,3.1,500.0,0.24,6.0,400.0,706.67,20.0,1000
1060,2.252,400.0,0.27,5.64,195.0,664.76,20.0,450
94,3.1,500.0,0.18,6.0,400.0,282.42,20.0,1000
94,3.1,500.0,0.22,6.0,400.0,275.15,20.0,1000
700,2.9,500.0,0.22,6.5,368.4,1019.0,950.0,3000
94,3.1,500.0,0.26,6.0,400.0,682.42,20.0,1000
700,2.95,500.0,0.46,6.5,319.0,900.0,704.0,3000
94,2.74,500.0,0.28,7.0,270.0,456.97,20.0,1000
1300,2.8695999999999997,500.0,0.16,6.5,280.0,440.0,176.0,150
94,3.1,500.0,0.24,6.0,400.0,774.55,20.0,1000
1100,2.25,500.0,0.45,6.0,185.0,620.3,20.0,0
94,2.9,500.0,0.45,6.27,280.0,365.25,20.0,1000
1200,2.8696,500.0,0.23,6.0,140.0,213.0,20.0,400
